ticker,basis,oos_r_squared,residual_volatility,n_factors
QQQ,nonlinear,0.7192530858606132,0.12120830133939128,6
IWM,nonlinear,0.6964941651497044,0.12323809246997816,6
EFA,nonlinear,0.8039824553607702,0.07343057601293015,6
EEM,nonlinear,0.6539366068781174,0.1155550982894638,6
AGG,nonlinear,0.696014849164643,0.034358610151425654,6
SHY,nonlinear,0.418198105233446,0.015659375322459597,6
IEF,nonlinear,0.7581661572196384,0.038219541820503224,6
TLT,nonlinear,0.7405803810697165,0.07953743895344619,6
TIP,nonlinear,0.6797629864242625,0.034559261737605436,6
LQD,nonlinear,0.768455245564881,0.04185156546206444,6
HYG,nonlinear,0.610675488562703,0.048016490210485,6
VNQ,nonlinear,0.7466635355850508,0.09650639514722692,6
GLD,nonlinear,0.6464989116256603,0.11352750218190402,6
DBC,nonlinear,0.8583943197074724,0.06984037237988673,6
UUP,nonlinear,0.8372702260343721,0.029864523903188823,6
ACWI,linear,0.8835652818272003,0.054615673621375226,7
SPY,linear,0.817689243215773,0.07288448416325631,7
DIA,linear,0.7675223161389382,0.07123959502435355,7
QQQ,linear,0.723667140647279,0.11954106325498265,7
IWM,linear,0.707637057836399,0.12067352193504373,7
EFA,linear,0.8044924155917621,0.07284566274505556,7
EEM,linear,0.64886756943938,0.11614580021642434,7
AGG,linear,0.7302225054768459,0.032361324896421795,7
SHY,linear,0.5288111965175922,0.01404462662453244,7
IEF,linear,0.7760507665383215,0.03678015990413423,7
TLT,linear,0.7742895938981529,0.07419922457067638,7
TIP,linear,0.6919483931790682,0.033948451494520554,7
LQD,linear,0.7883419868082349,0.040013830672883346,7
HYG,linear,0.6355060959939627,0.046324420141448275,7
VNQ,linear,0.8718001629614733,0.06855476000232316,7
GLD,linear,0.7014018947106766,0.10402559071123889,7
DBC,linear,0.8720652727820736,0.06615334728196494,7
UUP,linear,0.8001081469135694,0.03284744101385889,7
ACWI,gamma,0.8666160057078394,0.05866110387207015,7
SPY,gamma,0.8009109405661081,0.07628893018415857,7
DIA,gamma,0.7503860748639213,0.07391189650538317,7
QQQ,gamma,0.7179859659637324,0.12080361696777561,7
IWM,gamma,0.6984199998032221,0.12258265750709892,7
EFA,gamma,0.7938156654599334,0.07498829885720965,7
EEM,gamma,0.6493157507147733,0.1160126046034438,7
AGG,gamma,0.7032809618899577,0.03392118228116046,7
SHY,gamma,0.5372253919619853,0.01391120024258668,7
IEF,gamma,0.7768371007504704,0.036715524337250845,7
TLT,gamma,0.7835951949245393,0.0726789208720506,7
TIP,gamma,0.6874243156413639,0.03419840178776516,7
LQD,gamma,0.7612976942933943,0.042489163798845105,7
HYG,gamma,0.6175874543037961,0.04743753160009997,7
VNQ,gamma,0.8802490006475,0.06633740841151844,7
GLD,gamma,0.7394535398049716,0.09702148390414625,7
DBC,gamma,0.8937569028850506,0.060121279527253824,7
UUP,gamma,0.8170839188780386,0.03133937173921007,7
ACWI,nonlinear,0.8648937064588291,0.05970080422194258,7
SPY,nonlinear,0.7984349708710566,0.07738736183028012,7
DIA,nonlinear,0.7441641788346703,0.07523890568301864,7
QQQ,nonlinear,0.7195597412590428,0.12112779150185421,7
IWM,nonlinear,0.6978779332372125,0.12294112454154305,7
EFA,nonlinear,0.7881185270427615,0.07635383405129682,7
